No;lokasi;kamar_tidur;kamar_mandi;luas_rumah;luas_tanah;harga;jenis_rumah
1143;Beji;2;1;55;132;879000000;Menengah
1144;Sawangan;3;3;115;70;955000000;Sederhana
1145;Sawangan;53;2;72;53;530000000;Sederhana
1146;Pancoran Mas;4;2;120;160;1300000000;Menengah
1147;Sukmajaya;3;3;168;225;2500000000;Mewah
1148;Sawangan;2;1;72;72;745000000;Sederhana
1149;Pancoran Mas;5;4;200;509;2900000000;Mewah
1150;Cilodong;3;2;75;69;750000000;Sederhana
1151;Cipayung;2;1;40;40;165000000;Sederhana
1152;Cimanggis;4;6;238;185;2500000000;Menengah
1153;Cipayung;2;1;40;60;295000000;Sederhana
1154;Cinere;4;3;80;90;1350000000;Menengah
1155;Cilodong;3;2;75;69;750000000;Sederhana
1156;Sukmajaya;5;4;336;168;2000000000;Menengah
1157;Cipayung;2;1;40;45;175000000;Sederhana
1158;Cipayung;2;1;36;50;253000000;Sederhana
1159;Cipayung;2;1;40;40;155000000;Sederhana
1160;Cimanggis;2;1;36;66;550000000;Sederhana
1161;Cipayung;2;1;36;50;251000000;Sederhana
1162;Cilodong;3;2;81;81;785750000;Menengah
1163;Pancoran Mas;2;1;40;50;195000000;Sederhana
1164;Cilodong;2;1;55;83;650000000;Menengah
1165;Sawangan;2;1;40;60;295000000;Sederhana
1166;Cipayung;2;1;54;75;485000000;Sederhana
1167;Cipayung;2;1;45;45;170000000;Sederhana
1168;Cipayung;2;1;36;50;261000000;Sederhana
1169;Cipayung;2;1;36;54;275000000;Sederhana
1170;Pancoran Mas;4;2;140;102;1250000000;Menengah
1171;Pancoran Mas;5;4;200;509;2900000000;Mewah
1172;Cimanggis;2;1;36;66;550000000;Sederhana
1173;Pancoran Mas;2;1;65;228;1350000000;Mewah
1174;Cipayung;2;1;36;50;251000000;Sederhana
1175;Cipayung;2;1;40;45;175000000;Sederhana
1176;Pancoran Mas;2;1;40;50;195000000;Sederhana
1177;Cinere;4;3;80;90;1350000000;Menengah
1178;Cilodong;3;2;75;69;750000000;Sederhana
1179;Cipayung;2;1;40;40;155000000;Sederhana
1180;Cipayung;2;1;54;75;485000000;Sederhana
1181;Cipayung;2;1;45;45;170000000;Sederhana
1182;Cipayung;2;1;45;75;560000000;Sederhana
1183;Cinere;4;3;210;210;3400000000;Mewah
1184;Cimanggis;5;5;275;379;5800000000;Mewah
1185;Sawangan;2;2;65;80;736000000;Menengah
1186;Bojongsari;2;1;54;85;571200000;Menengah
1187;Cilodong;2;1;40;77;570000000;Sederhana
1188;Cipayung;2;1;38;40;135000000;Sederhana
1189;Cipayung;2;1;40;40;135000000;Sederhana
1190;Cipayung;2;1;36;40;175000000;Sederhana
1191;Cipayung;2;1;36;55;250000000;Sederhana
1192;Cipayung;2;1;36;60;270000000;Sederhana
1193;Cimanggis;3;2;117;144;700000000;Menengah
1194;Cinere;4;3;225;272;2500000000;Mewah
1195;Bojongsari;5;2;200;230;1500000000;Mewah
1196;Cinere;8;4;388;705;7750000000;Mewah
1197;Pancoran Mas;3;4;212;160;2350000000;Menengah
1198;Cimanggis;2;1;36;90;700000000;Menengah
1199;Cimanggis;5;2;200;134;1330000000;Menengah
1200;Cimanggis;3;2;110;74;790000000;Sederhana
1201;Cimanggis;3;2;100;62;699999999;Sederhana
1202;Cimanggis;5;3;200;136;1300000000;Menengah
1203;Cimanggis;2;1;45;73;600000000;Sederhana
1204;Cimanggis;3;2;110;74;770000022;Sederhana
1205;Pancoran Mas;3;2;105;98;1080000000;Menengah
1206;Cimanggis;3;3;200;135;1900000000;Menengah
1207;Cimanggis;2;2;60;60;735000000;Sederhana
1208;Cimanggis;5;4;180;119;2100000000;Menengah
1209;Cimanggis;4;2;135;175;1750000000;Menengah
1210;Bojongsari;2;2;54;160;1132212000;Menengah
1211;Cimanggis;2;2;105;98;1500000000;Menengah
1212;Cimanggis;3;2;60;60;735000000;Sederhana
1213;Pancoran Mas;3;2;70;63;910000000;Sederhana
1214;Cimanggis;3;2;69;78;948000000;Sederhana
1215;Sukmajaya;2;1;50;72;400000000;Sederhana
1216;Sukmajaya;2;1;50;75;410000000;Sederhana
1217;Cimanggis;3;2;66;84;869000000;Menengah
1218;Cimanggis;3;2;66;84;839000000;Menengah
1219;Pancoran Mas;3;3;97;70;650000000;Sederhana
1220;Sawangan;2;1;36;60;461000000;Sederhana
1221;Cilodong;3;2;69;84;692550000;Menengah
1222;Cimanggis;2;1;36;63;475000000;Sederhana
1223;Cilodong;2;1;40;67;464550000;Sederhana
1224;Cilodong;3;2;50;70;563000000;Sederhana
1225;Cilodong;2;1;45;62;530000000;Sederhana
1226;Cilodong;2;3;55;100;1100000000;Menengah
1227;Cilodong;3;2;55;100;1100000000;Menengah
1228;Sukmajaya;2;1;45;70;648000000;Sederhana
1229;Bojongsari;2;1;40;84;628000000;Menengah
1230;Pancoran Mas;2;1;45;60;275000000;Sederhana
1231;Cilodong;2;1;50;84;565000000;Menengah
1232;Cilodong;2;2;50;90;580000000;Menengah
1233;Cimanggis;3;2;61;70;800000000;Sederhana
1234;Pancoran Mas;3;2;105;98;1080000000;Menengah
1235;Cimanggis;3;3;200;135;1900000000;Menengah
1236;Pancoran Mas;3;4;212;160;2350000000;Menengah
1237;Cinere;8;4;388;705;7750000000;Mewah
1238;Cimanggis;5;2;200;134;1330000000;Menengah
1239;Cimanggis;3;2;66;84;869000000;Menengah
1240;Cimanggis;3;2;66;84;839000000;Menengah
1241;Cimanggis;5;4;180;119;2100000000;Menengah
1242;Cimanggis;2;1;36;90;700000000;Menengah
1243;Cimanggis;2;1;45;73;600000000;Sederhana
1244;Cimanggis;5;3;200;136;1300000000;Menengah
1245;Cimanggis;3;2;100;62;699999999;Sederhana
1246;Cimanggis;3;2;110;74;790000000;Sederhana
1247;Pancoran Mas;2;2;45;138;670000000;Menengah
1248;Cinere;4;3;115;105;1637418500;Menengah
1249;Pancoran Mas;4;4;410;400;6500000000;Mewah
1250;Cibubur;4;4;222;160;2800000000;Menengah
1251;Cibubur;4;4;410;400;6500000000;Mewah
1252;Pancoran Mas;2;1;48;48;380000000;Sederhana
1253;Cimanggis;4;2;200;380;2900000000;Mewah
1254;Pancoran Mas;2;1;50;73;645000000;Sederhana
1255;Cipayung;2;1;36;60;300000000;Sederhana
1256;Cinere;4;4;115;105;1400000000;Menengah
1257;Cimanggis;4;2;140;161;1350000000;Menengah
1258;Pancoran Mas;6;6;750;1040;11500000000;Mewah
1259;Cinere;4;3;180;150;2750000000;Menengah
1260;Cimanggis;4;3;350;285;3200000000;Mewah
1261;Sawangan;2;1;40;60;299000000;Sederhana
1262;Sawangan;2;1;45;55;250000000;Sederhana
1263;Sawangan;2;1;40;60;320000000;Sederhana
1264;Cinere;4;3;79;90;1350000000;Menengah
1265;Cipayung;2;1;36;50;252000000;Sederhana
1266;Cilodong;2;2;80;105;780000000;Menengah
1267;Beji;5;4;323;412;5500000000;Mewah
1268;Cipayung;2;1;36;50;265000000;Sederhana
1269;Cipayung;2;1;40;40;150000000;Sederhana
1270;Cimanggis;6;4;220;120;1850000000;Menengah
1271;Beji;2;1;50;70;750000000;Sederhana
1272;Pancoran Mas;5;4;368;237;3900000000;Mewah
1273;Cipayung;2;1;36;52;235000000;Sederhana
1274;Sawangan;3;2;70;72;497000000;Sederhana
1275;Beji;3;1;60;90;750000000;Menengah
1276;Cipayung;2;1;45;45;170000000;Sederhana
1277;Pancoran Mas;3;3;275;240;3500000000;Mewah
1278;Cipayung;2;1;45;60;300000000;Sederhana
1279;Beji;2;2;100;177;680000000;Menengah
1280;Tapos;2;1;36;50;225000000;Sederhana
1281;Pancoran Mas;2;4;65;23;555000000;Sederhana
1282;Pancoran Mas;2;2;90;218;1000000000;Mewah
1283;Cipayung;2;1;30;50;245000000;Sederhana
1284;Cipayung;2;1;36;60;340000000;Sederhana
1285;Sukmajaya;2;1;36;120;950000000;Menengah
1286;Cipayung;2;1;36;50;255000000;Sederhana
1287;Limo;6;3;1000;500;8000000000;Mewah
1288;Cilodong;2;1;36;50;235000000;Sederhana
1289;Sawangan;3;2;69;73;966454000;Sederhana
1290;Cipayung;2;1;36;36;131000000;Sederhana
1291;Cipayung;2;1;36;50;256000000;Sederhana
1292;Pancoran Mas;7;4;229;801;3700000000;Mewah
1293;Beji;3;1;80;60;760000000;Sederhana
1294;Cilodong;3;2;75;69;750000000;Sederhana
1295;Cinere;3;2;135;128;1400000000;Menengah
1296;Sawangan;2;1;36;50;235000000;Sederhana
1297;Pancoran Mas;3;2;90;72;685700000;Sederhana
1298;Sawangan;2;1;36;60;465000000;Sederhana
1299;Pancoran Mas;2;1;36;55;245000000;Sederhana
1300;Cinere;3;2;67;70;998500000;Sederhana
1301;Pancoran Mas;6;2;200;240;2800000000;Mewah
1302;Pancoran Mas;4;3;198;263;3800000000;Mewah
1303;Pancoran Mas;5;3;500;420;3600000000;Mewah
1304;Cilodong;2;1;45;72;450000000;Sederhana
1305;Cipayung;2;1;40;40;143000000;Sederhana
1306;Sawangan;2;1;40;72;450000000;Sederhana
1307;Cipayung;2;1;25;50;215000000;Sederhana
1308;Beji;2;1;50;77;790000000;Sederhana
1309;Cipayung;2;1;36;50;256000000;Sederhana
1310;Cimanggis;3;3;70;44;686000000;Sederhana
1311;Cilodong;3;2;55;64;620400000;Sederhana
1312;Cipayung;2;1;36;50;261000000;Sederhana
1313;Sawangan;2;1;25;52;215000000;Sederhana
1314;Pancoran Mas;2;1;36;60;265000000;Sederhana
1315;Cipayung;2;1;36;52;265000000;Sederhana
1316;Pancoran Mas;2;2;54;87;525000000;Menengah
1317;Cilodong;3;2;80;120;900000000;Menengah
1318;Cinere;3;2;150;105;1600000000;Menengah
1319;Cinere;4;2;90;60;1100000000;Sederhana
1320;Cimanggis;3;2;61;68;816000000;Sederhana
1321;Cilodong;3;2;70;83;843000000;Menengah
1322;Beji;3;2;122;90;1800000000;Menengah
1323;Tapos;2;1;42;70;650000000;Sederhana
1324;Cimanggis;2;1;42;73;690000000;Sederhana
1325;Beji;3;3;158;120;2400000000;Menengah
1326;Cimanggis;2;1;42;70;675910000;Sederhana
1327;Pancoran Mas;12;12;250;317;1650000000;Mewah
1328;Cipayung;2;1;36;66;374480000;Sederhana
1329;Cilodong;2;1;36;85;435000000;Menengah
1330;Pancoran Mas;2;4;65;23;555000000;Sederhana
1331;Pancoran Mas;4;3;105;205;2200000000;Mewah
1332;Sawangan;2;3;48;40;445000000;Sederhana
1333;Sawangan;3;2;68;50;705200000;Sederhana
1334;Sawangan;2;1;36;71;297000000;Sederhana
1335;Bojongsari;2;1;32;72;425000000;Sederhana
1336;Sawangan;2;1;36;84;500000000;Menengah
1337;Cinere;4;3;250;186;2300000000;Menengah
1338;Cimanggis;2;1;36;60;550000000;Sederhana
1339;Cilodong;2;1;36;63;259600000;Sederhana
1340;Cinere;2;1;55;60;400000000;Sederhana
1341;Pancoran Mas;2;1;36;60;400000000;Sederhana
1342;Pancoran Mas;2;1;45;72;395000000;Sederhana
1343;Sukmajaya;4;3;300;700;11000000000;Mewah
1344;Cilodong;3;2;58;54;502000000;Sederhana
1345;Bojongsari;2;1;50;70;520000021;Sederhana
1346;Pancoran Mas;54;55;120;458;9000000000;Mewah
1347;Sawangan;2;1;90;140;900000000;Menengah
1348;Cimanggis;5;5;200;136;1300000000;Menengah
1349;Cimanggis;3;2;80;50;549999990;Sederhana
1350;Cimanggis;2;2;100;62;700000000;Sederhana
1351;Cimanggis;2;2;100;62;700000000;Sederhana
1352;Cimanggis;3;2;110;74;750000000;Sederhana
1353;Cimanggis;3;2;72;110;750000000;Menengah
1354;Cimanggis;5;5;200;136;1300000000;Menengah
1355;Cimanggis;2;2;55;84;750000000;Menengah
1356;Cimanggis;3;2;80;48;700000000;Sederhana
1357;Bojongsari;2;1;42;74;420000000;Sederhana
1358;Cimanggis;3;2;60;69;898000000;Sederhana
1359;Sawangan;3;2;140;150;1800000000;Menengah
1360;Sawangan;3;2;100;160;1200000000;Menengah
1361;Cimanggis;5;2;200;136;1350000000;Menengah
1362;Cipayung;4;3;79;72;1200000000;Sederhana
1363;Cimanggis;3;1;91;96;1600000000;Menengah
1364;Sawangan;2;1;42;76;430000000;Sederhana
1365;Cimanggis;3;2;100;225;2250000000;Mewah
1366;Cimanggis;3;2;117;120;1550000000;Menengah
1367;Pancoran Mas;4;4;130;112;1700000000;Menengah
1368;Cimanggis;3;2;61;100;700000000;Menengah
1369;Cimanggis;3;2;50;80;550000000;Menengah
1370;Cimanggis;3;2;80;51;700000000;Sederhana
1371;Pancoran Mas;6;4;180;180;2400000000;Menengah
1372;Pancoran Mas;6;4;180;180;2400000000;Menengah
1373;Sawangan;2;1;44;77;539750000;Sederhana
1374;Cimanggis;3;2;102;62;700000000;Sederhana
1375;Sawangan;2;1;108;75;800000000;Sederhana
1376;Cipayung;2;1;45;70;385000000;Sederhana
1377;Pancoran Mas;2;1;42;69;690000000;Sederhana
1378;Limo;3;1;90;156;2000000000;Menengah
1379;Bojongsari;3;1;85;131;785000000;Menengah
1380;Cimanggis;3;2;66;88;863000000;Menengah
1381;Cimanggis;3;2;66;88;893000000;Menengah
1382;Cimanggis;3;2;66;97;947000000;Menengah
1383;Cimanggis;3;2;66;90;875000000;Menengah
1384;Beji;3;2;225;160;2400000000;Menengah
1385;Beji;10;4;510;510;3800000000;Mewah
1386;Cipayung;2;1;40;66;385000000;Sederhana
1387;Sawangan;2;1;81;36;519000000;Sederhana
1388;Cimanggis;5;4;180;119;2100000000;Menengah
1389;Cimanggis;3;3;105;98;1500000000;Menengah
1390;Cimanggis;5;3;439;468;6500000000;Mewah
1391;Sawangan;3;3;120;67;985000000;Sederhana
1392;Cipayung;2;1;36;60;374000000;Sederhana
1393;Cimanggis;3;2;66;85;800000000;Menengah
1394;Cilodong;2;1;36;84;440500000;Menengah
1395;Beji;4;3;200;266;2400000000;Mewah
1396;Cimanggis;3;2;65;74;955000000;Sederhana
1397;Cilodong;3;2;59;66;578194000;Sederhana
1398;Cimanggis;3;2;65;78;1115000000;Sederhana
1399;Cimanggis;3;2;69;72;839320000;Sederhana
1400;Bojongsari;2;1;40;84;659000000;Menengah
1401;Cimanggis;3;2;66;84;732000000;Menengah
1402;Cimanggis;2;1;36;61;442250000;Sederhana
1403;Beji;2;1;45;72;685000000;Sederhana
1404;Cilodong;3;2;93;93;785500000;Menengah
1405;Sawangan;2;1;36;72;358000000;Sederhana
1406;Pancoran Mas;3;3;90;162;2000000000;Menengah
1407;Sukmajaya;2;2;83;83;600000000;Menengah
1408;Cimanggis;3;3;160;204;3400000000;Mewah
1409;Bojongsari;2;1;36;92;700000000;Menengah
1410;Pancoran Mas;3;3;115;67;985000000;Sederhana
1411;Cilodong;2;2;36;72;444000000;Sederhana
1412;Cilodong;3;2;60;60;950000000;Sederhana
1413;Cinere;2;2;90;103;1600000000;Menengah
1414;Cilodong;2;1;45;72;585000000;Sederhana
1415;Beji;3;3;110;75;1040000000;Sederhana
1416;Pancoran Mas;3;3;111;120;1700000000;Menengah
1417;Beji;3;2;45;72;775000000;Sederhana
1418;Cipayung;2;1;36;50;235000000;Sederhana
1419;Cipayung;2;1;36;50;255000000;Sederhana
1420;Cipayung;2;1;40;40;150000000;Sederhana
1421;Bojongsari;3;1;70;93;890000000;Menengah
1422;Cilodong;3;2;75;69;750000000;Sederhana
1423;Tapos;3;2;140;72;695000000;Sederhana
1424;Cipayung;2;1;36;50;255000000;Sederhana
1425;Cipayung;2;1;45;60;295000000;Sederhana
1426;Cipayung;2;1;36;60;275000000;Sederhana
1427;Cinere;3;3;180;230;1550000000;Mewah
1428;Cipayung;2;1;36;50;252000000;Sederhana
1429;Pancoran Mas;2;1;50;55;222000000;Sederhana
1430;Pancoran Mas;4;3;200;266;2400000000;Mewah
1431;Cimanggis;3;2;66;85;800000000;Menengah
1432;Pancoran Mas;2;1;45;72;685000000;Sederhana
1433;Cimanggis;3;3;122;105;1750000000;Menengah
1434;Pancoran Mas;4;2;160;160;1450000000;Menengah
1435;Cinere;3;2;250;510;3850000000;Mewah
1436;Cilodong;2;1;36;65;450000000;Sederhana
1437;Sawangan;2;1;40;60;250000000;Sederhana
1438;Sawangan;2;1;36;60;250000000;Sederhana
1439;Pancoran Mas;3;3;115;67;985000000;Sederhana
1440;Beji;4;3;372;575;5000000000;Mewah
1441;Sawangan;2;1;54;66;300000000;Sederhana
1442;Cipayung;2;1;36;50;253000000;Sederhana
1443;Cimanggis;2;1;36;50;253000000;Sederhana
1444;Cimanggis;2;1;42;70;468000000;Sederhana
1445;Sawangan;3;2;100;150;1100000000;Menengah
1446;Cilodong;3;2;60;60;950000000;Sederhana
1447;Cinere;2;2;90;103;1600000000;Menengah
1448;Cilodong;2;1;45;72;585000000;Sederhana
1449;Beji;4;3;372;575;5000000000;Mewah
1450;Pancoran Mas;3;3;73;120;1285000000;Menengah
1451;Cinere;2;1;85;165;850000000;Menengah
1452;Cimanggis;3;2;65;65;648000000;Sederhana
1453;Cipayung;2;1;36;50;255000000;Sederhana
1454;Cipayung;3;1;45;72;570000000;Sederhana
1455;Cilodong;2;3;60;271;950000000;Mewah
1456;Cinere;0;0;180;192;3500000000;Menengah
1457;Cipayung;2;1;36;50;253000000;Sederhana
1458;Cilodong;2;1;24;42;326000000;Sederhana
1459;Pancoran Mas;3;2;156;156;2100000000;Menengah
1460;Cipayung;2;1;45;84;433000000;Menengah
1461;Pancoran Mas;2;1;30;50;245000000;Sederhana
1462;Sukmajaya;4;2;86;86;1375000000;Menengah
1463;Cimanggis;3;3;150;367;1900000000;Mewah
1464;Bojongsari;2;1;50;85;760000000;Menengah
1465;Cipayung;1;1;25;50;228000000;Sederhana
1466;Cipayung;2;1;36;50;256000000;Sederhana
1467;Pancoran Mas;2;2;100;100;750000000;Menengah
1468;Cilodong;2;1;50;85;500000000;Menengah
1469;Cilodong;2;1;55;85;750000000;Menengah
1470;Sawangan;2;1;40;60;300000000;Sederhana
1471;Sawangan;2;1;40;60;300000000;Sederhana
1472;Cipayung;3;1;45;72;570000000;Sederhana
1473;Cimanggis;3;2;65;65;648000000;Sederhana
1474;Cimanggis;3;3;101;112;1818770000;Menengah
1475;Sawangan;2;1;35;50;260000000;Sederhana
1476;Cinere;2;1;85;84;650000000;Menengah
1477;Cimanggis;5;4;550;600;7500000000;Mewah
1478;Beji;2;1;52;63;400000000;Sederhana
1479;Pancoran Mas;7;5;350;500;2600000000;Mewah
1480;Cimanggis;5;2;198;128;1300000999;Menengah
1481;Cimanggis;4;3;200;180;1950000000;Menengah
1482;Sukmajaya;3;3;130;130;750000000;Menengah
1483;Cimanggis;2;1;42;70;468000000;Sederhana
1484;Sawangan;3;2;100;150;1100000000;Menengah
1485;Cinere;4;2;200;300;3100000000;Mewah
1486;Cinere;4;3;200;120;1800000000;Menengah
1487;Sawangan;2;1;40;85;447000000;Menengah
1488;Beji;1;1;50;50;300000000;Sederhana
1489;Cipayung;2;1;36;50;255000000;Sederhana
1490;Bojongsari;3;2;68;84;650000000;Menengah
1491;Cipayung;2;1;45;60;220000000;Sederhana
1492;Cilodong;3;2;78;80;975000000;Menengah
1493;Cilodong;3;2;78;80;975000000;Menengah
1494;Sawangan;7;6;738;868;5000000000;Mewah
1495;Pancoran Mas;3;2;120;78;875000000;Sederhana
1496;Cimanggis;4;3;167;188;2900000000;Menengah
1497;Beji;2;1;100;100;850000000;Menengah
1498;Beji;4;3;145;78;975000000;Sederhana
1499;Cipayung;2;1;40;40;145000000;Sederhana
1500;Cilodong;2;1;36;66;338200000;Sederhana
1501;Pancoran Mas;3;2;55;55;499000000;Sederhana
1502;Cimanggis;2;1;45;102;547000000;Menengah
1503;Cimanggis;6;5;679;1024;5200000000;Mewah
1504;Beji;4;4;147;151;1850000000;Menengah
1505;Pancoran Mas;3;2;60;82;710000000;Menengah
1506;Cipayung;2;1;36;50;270000000;Sederhana
1507;Cipayung;5;3;126;240;1200000000;Mewah
1508;Cimanggis;3;2;80;50;550000000;Sederhana
1509;Cimanggis;2;1;36;50;150000000;Sederhana
1510;Cinere;4;4;450;650;6200000000;Mewah
1511;Pancoran Mas;2;1;36;72;495000000;Sederhana
1512;Pancoran Mas;3;3;175;118;2125300000;Menengah
1513;Beji;3;3;127;100;1600000000;Menengah
1514;Sawangan;3;2;100;250;550000000;Mewah
1515;Cimanggis;3;2;110;72;700000000;Sederhana
1516;Sukmajaya;2;2;60;113;600000000;Menengah
1517;Cipayung;2;1;54;66;385000000;Sederhana
1518;Sukmajaya;3;1;100;297;1100000000;Mewah
1519;Pancoran Mas;3;3;150;168;650000000;Menengah
1520;Cipayung;2;1;48;87;450000000;Menengah
1521;Sawangan;2;2;130;160;900000000;Menengah
1522;Beji;3;3;100;61;1100000000;Sederhana
1523;Bojongsari;4;4;225;415;1800000000;Mewah
1524;Cimanggis;2;1;60;75;635000000;Sederhana
1525;Sukmajaya;2;1;90;90;450000000;Menengah
1526;Cimanggis;3;2;65;72;800000000;Sederhana
1527;Tapos;2;1;60;100;350000000;Menengah
1528;Beji;2;1;30;50;180000000;Sederhana
1529;Cilodong;2;1;44;72;475000000;Sederhana
1530;Pancoran Mas;3;1;135;135;750000000;Menengah
1531;Beji;2;1;30;50;180000000;Sederhana
1532;Beji;4;2;100;250;2000000000;Mewah
1533;Sawangan;2;1;40;55;230000000;Sederhana
1534;Pancoran Mas;4;2;190;90;975000000;Menengah
1535;Cimanggis;3;2;65;72;800000000;Sederhana
1536;Cimanggis;4;3;200;110;1500000000;Menengah
1537;Sawangan;0;0;36;74;300000000;Sederhana
1538;Cimanggis;4;4;160;98;970000000;Menengah
1539;Cipayung;2;1;50;72;380000000;Sederhana
1540;Cinere;2;1;36;50;255000000;Sederhana
1541;Sukmajaya;3;1;48;120;800000000;Menengah
1542;Beji;3;2;97;84;880000000;Menengah
1543;Sukmajaya;2;1;40;72;475000000;Sederhana
1544;Cipayung;3;1;100;50;400000000;Sederhana
1545;Cinere;7;4;300;450;5300000000;Mewah
1546;Cilodong;4;2;100;120;800000000;Menengah
1547;Sukmajaya;2;1;102;102;600000000;Menengah
1548;Cipayung;2;1;36;50;197000000;Sederhana
1549;Beji;3;3;115;89;1250000000;Menengah
1550;Cinere;5;5;1000;1000;20000000000;Mewah
1551;Cinere;6;4;310;261;3800000000;Mewah
1552;Pancoran Mas;3;2;80;120;850000000;Menengah
1553;Pancoran Mas;1;1;56;72;200000000;Sederhana
1554;Cipayung;1;1;34;0;270000000;Sederhana
1555;Sawangan;2;1;40;65;260000000;Sederhana
1556;Cipayung;2;1;36;60;170000000;Sederhana
1557;Cinere;4;5;174;196;1900000000;Menengah
1558;Cimanggis;4;4;275;150;1200000000;Menengah
1559;Sawangan;2;1;46;60;338000000;Sederhana
1560;Cipayung;2;1;45;70;355000000;Sederhana
1561;Sukmajaya;3;2;100;150;725000000;Menengah
1562;Cipayung;2;1;36;50;130000000;Sederhana
1563;Sawangan;2;1;50;65;660000000;Sederhana
1564;Sawangan;2;1;36;60;399000000;Sederhana
1565;Cimanggis;4;3;290;160;3400000000;Menengah
1566;Bojongsari;2;1;36;83;374000000;Menengah
1567;Pancoran Mas;3;2;65;64;629200000;Sederhana
1568;Beji;3;3;90;60;910000000;Sederhana
1569;Bojongsari;2;0;40;84;555000000;Menengah
1570;Sawangan;6;3;400;860;2250000000;Mewah
1571;Beji;2;1;60;65;675000000;Sederhana
1572;Cilodong;3;2;70;101;650000000;Menengah
1573;Cimanggis;2;2;100;130;900000000;Menengah
1574;Cimanggis;3;2;106;224;1000000000;Mewah
1575;Cimanggis;3;3;70;70;760000000;Sederhana
1576;Beji;4;4;147;122;1850000000;Menengah
1577;Beji;3;2;70;98;790000000;Menengah
1578;Cimanggis;3;2;75;105;799000000;Menengah
1579;Cilodong;3;1;40;72;460750000;Sederhana
1580;Cinere;3;2;72;78;1100000000;Sederhana
1581;Cinere;2;1;90;123;900000000;Menengah
1582;Cilodong;2;1;40;66;460000000;Sederhana
1583;Bojongsari;2;1;89;46;350000000;Sederhana
1584;Pancoran Mas;2;1;45;87;440000000;Menengah
1585;Sawangan;5;3;150;188;750000000;Menengah
1586;Cipayung;2;1;36;50;349000000;Sederhana
1587;Pancoran Mas;3;2;60;96;485000000;Menengah
1588;Cinere;5;4;124;120;1594081800;Menengah
1589;Cinere;3;2;100;60;1100000000;Sederhana
1590;Sawangan;2;1;40;67;300000000;Sederhana
1591;Beji;3;2;90;91;130000000;Menengah
1592;Sukmajaya;4;3;180;188;1200000000;Menengah
1593;Cinere;4;4;124;130;1888637000;Menengah
1594;Cinere;4;3;121;168;1200000000;Menengah
1595;Cimanggis;2;1;70;72;350000000;Sederhana
1596;Pancoran Mas;2;1;40;72;530000000;Sederhana
1597;Beji;3;3;300;181;2000000000;Menengah
1598;Beji;2;1;45;87;690000000;Menengah
1599;Pancoran Mas;4;3;90;180;897000000;Menengah
1600;Sawangan;4;3;130;110;550000000;Menengah
1601;Cinere;4;3;160;230;1750000000;Mewah
1602;Cimanggis;3;2;136;96;650000000;Menengah
1603;Beji;2;1;45;76;680000000;Sederhana
1604;Beji;3;2;133;133;864000000;Menengah
1605;Sawangan;2;1;36;72;350000000;Sederhana
1606;Cinere;6;6;1364;1280;1500000000;Mewah
1607;Cimanggis;3;2;72;135;630000000;Menengah
1608;Pancoran Mas;2;1;36;60;190000000;Sederhana
1609;Beji;5;2;142;92;1600000000;Menengah
1610;Cipayung;2;1;45;70;350000000;Sederhana
1611;Sawangan;2;1;36;60;295000000;Sederhana
1612;Cinere;3;2;98;75;1092000000;Sederhana
1613;Cinere;6;5;200;265;3300000000;Mewah
1614;Cilodong;2;2;90;72;425000000;Sederhana
1615;Beji;4;4;130;86;1200000000;Menengah
1616;Cinere;0;0;90;72;950000000;Sederhana
1617;Pancoran Mas;3;2;105;89;900000000;Menengah
1618;Cipayung;2;1;30;65;170000000;Sederhana
1619;Cimanggis;2;1;36;50;185000000;Sederhana
1620;Cinere;3;2;90;122;850000000;Menengah
1621;Cinere;4;3;130;115;1125000000;Menengah
1622;Cilodong;4;3;270;280;2100000000;Mewah
1623;Cipayung;2;1;30;65;170000000;Sederhana
1624;Pancoran Mas;3;2;80;72;795000000;Sederhana
1625;Beji;3;2;90;60;910000000;Sederhana
1626;Cinere;3;2;90;122;850000000;Menengah
1627;Bojongsari;2;1;39;72;572000000;Sederhana
1628;Beji;2;1;38;78;659000000;Sederhana
1629;Cinere;3;2;78;72;1280000000;Sederhana
1630;Beji;2;1;40;60;700000000;Sederhana
1631;Cinere;4;4;676;309;9600000000;Mewah
1632;Pancoran Mas;3;2;60;92;765000000;Menengah
1633;Sawangan;4;3;120;135;570000000;Menengah
1634;Beji;2;1;45;72;775000000;Sederhana
1635;Sawangan;2;1;30;72;240000000;Sederhana
1636;Pancoran Mas;2;3;120;155;950000000;Menengah
1637;Cimanggis;2;1;42;66;450000000;Sederhana
1638;Sawangan;2;1;50;70;400000000;Sederhana
1639;Pancoran Mas;2;1;45;72;642700000;Sederhana
1640;Cimanggis;5;2;110;134;1300000000;Menengah
1641;Beji;3;3;100;102;1435000000;Menengah
1642;Pancoran Mas;2;1;45;72;550000000;Sederhana
1643;Cimanggis;4;2;114;167;1238000000;Menengah
1644;Bojongsari;3;2;54;90;600000000;Menengah
1645;Pancoran Mas;2;1;30;32;180000000;Sederhana
1646;Cimanggis;2;1;45;61;400000000;Sederhana
1647;Sawangan;2;1;50;120;475000000;Menengah
1648;Sawangan;2;1;40;60;285000000;Sederhana
1649;Cinere;3;2;180;240;1850000000;Mewah
1650;Cipayung;2;1;40;40;145000000;Sederhana
1651;Sawangan;2;1;40;55;375000000;Sederhana
1652;Tapos;3;2;75;147;990000000;Menengah
