No;lokasi;kamar_tidur;kamar_mandi;luas_rumah;luas_tanah;harga;jenis_rumah
350;Sukmajaya;5;3;200;323;2000000000;Mewah
351;Cilodong;3;2;130;157;849000000;Menengah
352;Sukmajaya;4;2;124;124;800000000;Menengah
353;Sukmajaya;3;1;120;90;675000000;Menengah
354;Beji;3;2;120;125;875000000;Menengah
355;Cimanggis;3;2;90;55;550000000;Sederhana
356;Cimanggis;3;2;69;70;839320000;Sederhana
357;Beji;2;1;42;59;700000000;Sederhana
358;Sawangan;2;1;33;60;281350000;Sederhana
359;Sukmajaya;2;1;50;80;595000000;Menengah
360;Sawangan;2;1;60;97;550000000;Menengah
361;Sukmajaya;3;2;100;150;600000000;Menengah
362;Cilodong;2;1;36;63;229600000;Sederhana
363;Pancoran Mas;2;1;50;65;250000000;Sederhana
364;Pancoran Mas;2;1;54;66;385000000;Sederhana
365;Pancoran Mas;3;2;75;120;785000000;Menengah
366;Pancoran Mas;3;3;369;220;1400000000;Mewah
367;Cimanggis;5;5;800;1600;11000000000;Mewah
368;Beji;2;1;45;70;680000000;Sederhana
369;Pancoran Mas;2;1;70;70;370000000;Sederhana
370;Cilodong;2;1;40;81;474000000;Menengah
371;Cimanggis;3;3;122;105;1750000000;Menengah
372;Cipayung;2;1;45;70;435000000;Sederhana
373;Beji;4;4;220;110;1500000000;Menengah
374;Sawangan;3;1;50;102;399000000;Menengah
375;Sukmajaya;3;1;90;90;500000000;Menengah
376;Cimanggis;3;3;65;44;686000000;Sederhana
377;Beji;2;1;45;72;750000000;Sederhana
378;Sukmajaya;2;1;45;80;550000000;Menengah
379;Pancoran Mas;3;2;80;105;730000000;Menengah
380;Cimanggis;2;1;36;64;447500000;Sederhana
381;Cimanggis;3;2;110;72;750000000;Sederhana
382;Pancoran Mas;3;1;80;100;350000000;Menengah
383;Bojongsari;2;1;40;60;500000000;Sederhana
384;Cipayung;2;1;45;73;450000000;Sederhana
385;Cimanggis;3;3;120;100;1800000000;Menengah
386;Bojongsari;2;1;45;112;630000000;Menengah
387;Pancoran Mas;3;2;100;140;599000000;Menengah
388;Sawangan;2;1;55;78;325000000;Sederhana
389;Cimanggis;5;2;160;150;875000000;Menengah
390;Sawangan;4;3;120;90;800000000;Menengah
391;Cimanggis;5;2;160;150;875000000;Menengah
392;Pancoran Mas;3;2;100;140;599000000;Menengah
393;Sawangan;3;2;150;160;1100000000;Menengah
394;Sawangan;3;2;115;150;1250000000;Menengah
395;Cipayung;2;1;36;50;265000000;Sederhana
396;Pancoran Mas;2;1;53;90;475000000;Menengah
397;Cilodong;3;2;70;60;850000000;Sederhana
398;Cilodong;5;5;100;400;975000000;Mewah
399;Sukmajaya;2;1;45;70;648000000;Sederhana
400;Sawangan;2;1;40;60;295000000;Sederhana
401;Tapos;3;2;80;120;650000000;Menengah
402;Cilodong;2;1;56;93;650000000;Menengah
403;Sukmajaya;4;2;124;124;800000000;Menengah
404;Beji;4;2;60;127;1300000000;Menengah
405;Beji;2;1;48;84;600000000;Menengah
406;Pancoran Mas;7;6;550;319;5500000000;Mewah
407;Sawangan;3;2;100;150;1200000000;Menengah
408;Sawangan;3;2;120;126;1250000000;Menengah
409;Beji;4;3;150;290;5000000000;Mewah
410;Cimanggis;2;2;50;49;517000000;Sederhana
411;Cimanggis;3;2;66;99;929000000;Menengah
412;Pancoran Mas;4;3;175;200;1000000000;Menengah
413;Bojongsari;2;1;36;60;270000000;Sederhana
414;Cimanggis;3;2;101;62;700000000;Sederhana
415;Beji;4;2;100;160;800000000;Menengah
416;Cimanggis;2;1;30;52;257000000;Sederhana
417;Cinere;3;2;90;126;1840000000;Menengah
418;Pancoran Mas;2;1;40;61;471525000;Sederhana
419;Beji;3;1;60;75;499000000;Sederhana
420;Cimanggis;3;2;100;62;550000000;Sederhana
421;Bojongsari;2;1;36;60;270000000;Sederhana
422;Cimanggis;3;2;100;62;550000000;Sederhana
423;Cimanggis;2;1;30;52;257000000;Sederhana
424;Pancoran Mas;2;1;100;100;550000000;Menengah
425;Pancoran Mas;2;2;88;90;600000000;Menengah
426;Sawangan;6;5;500;1059;3200000000;Mewah
427;Cimanggis;3;2;250;400;2000000000;Mewah
428;Cinere;6;6;1364;1280;1500000000;Mewah
429;Sawangan;2;1;40;60;285000000;Sederhana
430;Sukmajaya;2;1;90;96;400000000;Menengah
431;Sawangan;3;2;86;75;715000000;Sederhana
432;Cimanggis;4;3;200;266;2400000000;Mewah
433;Cimanggis;2;1;40;74;300000000;Sederhana
434;Cipayung;2;1;36;60;349000000;Sederhana
